p,Іноземна мова,Історія України,Біологія,Географія,Математика,Творчий конкурс,Українська література,Українська мова,Українська мова і література,Фізика,Хімія
К,,154,,,143,,143,143,,,
2,,170,,162,149,,,172,,,
1,,160,,166,151,,,150,,,
3,,145,154,,145,,,143,,,
2,,145,,164,108,,,150,,,
3,,,148,,119,,,135,,,
1,,142,,,170,,,148,,156,
1,149,156,,,147,,,180,,,
1,152,169,,,150,,,152,,,
1,140,158,,,145,,,162,,,
1,140,146,,,134,,,136,,,
2,,124,,136,131,,,146,,,
4,131,151,,,131,,,131,,,
1,125,134,,,131,,,136,,,
1,,192,,,200,,,200,,,
1,162,197,,,189,,,186,,,
1,185,179,,,184,,,180,,,
1,179,197,,,180,,,180,,,
2,185,177,,,170,,,195,,,
1,194,,,,173,,,173,,,
5,155,172,,,194,,,180,,,
1,,170,,,189,,,183,,164,
2,200,143,,,167,,,180,,,
2,153,185,,,180,,,177,,,
1,185,160,,,173,,,167,,,
1,185,169,,,170,,,165,,,
2,149,168,,,194,,,160,,,
1,,170,,,180,,,157,,,
1,,163,,160,184,,,162,,,
1,151,,,,193,,,153,,,
1,185,147,,,173,,,167,,,
1,169,160,,,170,,,177,,,
1,169,160,,,167,,,180,,,
1,166,168,,,180,,,154,,,
1,152,152,,,189,,,162,,,
2,179,160,,,170,,,160,,,
2,162,170,,,173,,,165,,,
1,162,151,,,176,,,167,,,
1,179,175,,,155,,,167,,,
1,169,173,,,149,,,186,,,
1,,172,,151,155,,,186,,,
1,179,177,,,148,,,170,,,
1,191,147,,,155,,,162,,,
2,,136,,,184,,,170,,147,
1,162,154,,,167,,,165,,,
3,,160,,,153,,,182,,,
1,162,183,,,155,,,163,,,
1,166,146,,,167,,,163,,,
2,151,152,,,176,,,156,,,
1,151,175,,,152,,,180,,,
2,159,151,,,167,,,163,,,
1,155,169,,,152,,,177,,,
1,,146,,,170,,,152,,164,
1,,148,,,176,,,159,,150,
1,155,152,,,173,,,150,,,
2,137,141,,,170,,,180,,,
1,162,149,,,159,,,165,,,
5,155,181,,,149,,,167,,,
1,166,154,,,150,,,172,,,
1,169,144,,,147,,,177,,,
2,157,141,,,150,,,186,,,
0,,156,,,156,,,174,,,
2,145,144,,,167,,,167,,,
0,162,141,,,163,,,156,,,
2,157,147,,,163,,,157,,,
1,152,145,,,163,,,163,,,
3,181,,,,147,,,150,,,
1,118,173,,,159,,,180,,,
1,150,149,,,159,,,162,,,
1,166,152,,,149,,,159,,,
1,153,151,,,152,,,167,,,
1,,151,,,147,,156,167,,,
1,159,150,,,151,,,157,,,
1,162,173,,,145,,,148,,,
1,140,177,,,148,,,162,,,
1,,146,,144,151,,,167,,,
1,131,166,,,159,,,156,,,
1,,143,,,151,,,157,,156,
1,147,146,,,151,,,165,,,
1,,147,144,,147,,,170,,,
1,149,146,,,150,,,163,,,
1,151,151,,,151,,,156,,,
3,,143,,146,151,,,160,,,
4,150,149,,,149,,,157,,,
1,,146,158,,150,,,150,,,
5,152,160,,,145,,,152,,,
0,157,143,,,151,,,148,,,
1,,147,,,148,,,154,,,
1,151,146,,,151,,,148,,,
0,140,150,,,151,,,156,,,
1,,143,151,,152,,,148,,,
1,147,144,,,145,,,162,,,
0,157,141,,,148,,,148,,,
0,148,146,,,145,,,157,,,
1,149,148,,,145,,,154,,,
0,,160,,144,149,,,142,,,
1,143,149,,,150,,,150,,,
1,143,154,,,151,,,144,,,
1,149,140,,,143,,,159,,,
1,147,147,,,150,,,144,,,
3,162,142,,,143,,,144,,,
3,179,160,,,115,,,159,,,
0,153,142,,,143,,,148,,,
2,131,145,,,155,,,148,,,
1,147,149,,,143,,,149,,,
0,150,140,,,147,,,145,,,
К,,138,,152,143,,,154,,,
К,,145,,140,123,,,146,,,
К,134,148,,,151,,,138,,,
1,169,170,,,163,,,156,,,
1,155,169,,,145,,,165,,,
1,151,173,,,148,,,159,,,
1,150,150,,,140,,,150,,,
2,145,136,,,145,,,142,,,
1,143,151,,,134,,,143,,,
1,191,156,,,180,,,191,,,
1,179,166,,,180,,,183,,,
1,173,188,,,180,,,167,,,
1,,173,,,194,,,180,,152,
1,147,163,,,189,,,177,,,
1,155,146,,,189,,,177,,,
1,,181,,168,184,,,145,,,
1,191,173,,,151,,,180,,,
1,179,163,,,155,,,191,,,
1,153,142,,,194,,,165,,,
1,157,179,,,159,,,191,,,
2,153,173,,,163,,,191,,,
1,200,147,,,163,,,160,,,
1,143,168,,,184,,,167,,,
1,185,163,,,159,,,167,,,
1,159,160,,,170,,,175,,,
1,185,166,,,155,,,162,,,
1,148,158,,,170,,,177,,,
1,,170,,160,163,,,167,,,
1,143,150,,,170,,,183,,,
1,169,141,,,167,,,165,,,
1,162,170,,,155,,,172,,,
1,143,175,,,173,,,157,,,
2,147,169,,,167,,,165,,,
1,143,173,,,163,,,172,,,
1,157,141,,,170,,,165,,,
1,169,148,,,163,,,160,,,
1,169,158,,,155,,,165,,,
1,166,172,,,152,,,163,,,
1,,179,,164,143,,,175,,,
3,159,152,,,159,,,170,,,
1,173,170,,,143,,,170,,,
1,169,150,,,149,,,177,,,
2,157,163,,,159,,,163,,,
1,157,158,,,159,,,165,,,
3,173,156,,,143,,,177,,,
1,169,143,,,159,,,162,,,
1,173,156,,,149,,,165,,,
0,166,156,,,151,,,165,,,
5,157,146,,,149,,,180,,,
1,,158,,,159,,,167,,145,
1,166,160,,,150,,,154,,,
1,152,154,,,149,,,172,,,
1,,177,,164,149,,,146,,,
2,143,163,,,159,,,156,,,
1,166,156,,,152,,,149,,,
1,157,136,,,159,,,159,,,
2,148,146,,,151,,,172,,,
1,,150,,145,148,,,172,,,
1,,156,156,,148,,,159,,,
1,173,142,,,147,,,152,,,
1,157,,,,151,,,152,,,
1,143,150,,,159,,,154,,,
1,137,143,,,163,,,156,,,
1,166,143,,,149,,,148,,,
2,148,145,,,145,,,170,,,
1,150,151,,,150,,,154,,,
0,155,158,,,145,,,152,,,
1,159,136,,,150,,,154,,,
1,140,147,,,152,,,162,,,
1,,164,,,148,,,142,,,
1,145,136,,,149,,,163,,,
1,143,169,,,140,,,154,,,
1,143,138,,,147,,,163,,,
0,140,,,,151,,,152,,,
1,143,145,,,148,,,156,,,
1,148,154,,,134,,,167,,,
1,145,150,,,140,,,162,,,
2,140,136,,,149,,,157,,,
1,,138,,,147,,144,154,,,
1,150,147,,,145,,,145,,,
1,140,,,,145,,,151,,,
1,,138,,,150,,,142,,,
1,140,140,,,149,,,146,,,
1,,143,,145,143,,,146,,,
0,151,148,,,131,,,156,,,
5,,140,,151,140,,,142,,,
0,,147,,,140,,,142,,,
2,,143,,140,137,,,145,,,
0,137,144,,,134,,,152,,,
0,,149,,145,131,,,145,,,
0,140,143,,,137,,,142,,,
1,,141,,,131,,146,144,,,
0,137,145,,,131,,,146,,,
1,125,130,,,147,,,138,,,
0,,132,,140,134,,,143,,,
0,125,127,,,140,,,148,,,
5,,134,,138,131,,,138,,,
1,152,140,,,108,,,157,,,
2,137,143,,,123,,,144,,,
4,,168,,,115,,,146,,131,
0,,134,,,128,,,140,,,
1,125,140,,,131,,,138,,,
1,,147,,156,108,,,146,,,
1,153,175,,,173,,,163,,,
1,157,194,,,194,,,191,,,
1,,200,,,172,,,194,,,
1,185,143,,,189,,,159,,,
1,179,170,,,176,,,162,,,
1,145,150,,,189,,,175,,,
1,166,179,,,167,,,170,,,
1,155,173,,,167,,,183,,,
1,157,156,,,176,,,175,,,
1,152,166,,,170,,,183,,,
1,147,,,,181,,,162,,,
1,,191,,,149,,165,172,,,
5,152,149,,,140,,,159,,,
1,,140,,,135,,,170,,,
1,167,,,,150,,,165,,,
5,153,163,,,155,,,165,,,
1,152,183,,,143,,,172,,,
1,143,132,,,173,,,159,,,
1,155,,,,155,,,153,,,
1,173,143,,,151,,,148,,,
2,149,149,,,151,,,167,,,
1,,130,,,170,,,142,,145,
1,162,143,,,145,,,152,,,
1,,168,,,134,,157,160,,,
0,,146,,152,151,,,149,,,
0,149,151,,,145,,,150,,,
1,137,144,,,150,,,156,,,
2,143,152,,,145,,,148,,,
1,150,134,,,147,,,144,,,
1,140,148,,,137,,,157,,,
5,,151,,,140,,,162,,131,
1,125,146,,,150,,,149,,,
3,,152,,147,134,,,138,,,
2,,143,,140,137,,,143,,,
1,,140,,,136,,,135,,,
1,150,136,,,123,,,143,,,
1,140,141,,,123,,,143,,,
2,150,144,,,115,,,143,,,
1,149,145,,,108,,,149,,,
0,109,146,,,131,,,149,,,
0,125,120,,,131,,,140,,,
0,109,134,,,131,,,140,,,
1,118,130,,,137,,,115,,,
0,147,132,,,108,,,131,,,
0,118,136,,,115,,,145,,,
0,,136,,,131,,,134,,100,
К,,145,,146,148,,,145,,,
1,153,166,,,163,,,180,,,
2,162,166,,,152,,,177,,,
1,166,146,,,152,,,183,,,
1,,147,,,152,,,156,,160,
4,152,142,,,149,,,154,,,
1,145,142,,,149,,,159,,,
1,,150,,,131,,,172,,149,
0,159,145,,,145,,,140,,,
1,145,144,,,150,,,144,,,
1,145,154,,,143,,,143,,,
1,140,138,,,137,,,152,,,
1,,143,,,123,,148,163,,,
1,143,145,,,131,,,150,,,
1,147,134,,,137,,,140,,,
2,159,,,,134,,,128,,,
1,,144,,144,131,,,146,,,
1,,144,,134,131,,,146,,,
1,137,141,,,131,,,145,,,
1,,134,,145,140,,,125,,,
0,150,130,,,123,,,148,,,
0,137,156,,,123,,,143,,,
0,109,141,,,143,,,144,,,
0,,143,,,131,,125,142,,,
0,,134,148,,123,,,142,,,
0,137,146,,,123,,,134,,,
1,,140,,,134,,125,125,,,
1,131,150,,,123,,,131,,,
0,,140,148,,115,,,134,,,
0,,143,,,115,,,142,,131,
1,134,142,,,115,,,140,,,
0,,148,140,,115,,,131,,,
1,,130,,140,115,,,143,,,
1,,136,,144,108,,,145,,,
2,140,146,,,100,,,150,,,
1,,142,,136,108,,,143,,,
0,,136,,,107,,,144,,,
2,118,138,,,100,,,146,,,
0,131,120,,,100,,,115,,,
1,159,175,,,150,,,165,,,
3,159,144,,,159,,,156,,,
1,,141,,,159,,152,163,,,
5,,142,,154,159,,,157,,,
3,152,,,,151,,,152,,,
1,,130,,,134,,162,183,,,
3,118,158,,,148,,,175,,,
1,162,140,,,147,,,144,,,
5,137,140,,,159,,,144,,,
1,143,142,,,149,,,148,,,
0,148,148,,,140,,,149,,,
2,100,140,,,163,,,145,,,
1,109,134,,,150,,,142,,,
2,125,138,,,137,,,143,,,
0,131,,,,131,,,142,,,
1,,145,,,123,,134,145,,,
0,,136,,150,100,,,140,,,
0,125,111,,,115,,,131,,,
0,100,140,,,108,,,134,,,
К,,134,,,126,,,142,,,
К,,124,,,123,,110,148,,,
1,169,185,,,176,,,191,,,
2,,163,,,180,,,195,,151,
1,,148,,146,173,,,177,,,
1,143,191,,,151,,,180,,,
1,143,151,,,159,,,186,,,
1,150,158,,,149,,,162,,,
1,,142,,146,131,,,134,,,
0,,141,,,137,,138,115,,,
0,,120,138,,108,,,142,,,
1,125,127,,,143,,,152,,,
1,191,168,,,151,,,183,,,
5,166,160,,,180,,,162,,,
1,,168,,160,163,,,175,,,
3,157,144,,,167,,,167,,,
1,149,152,,,173,,,157,,,
1,162,179,,,147,,,167,,,
1,166,150,,,151,,,175,,,
3,152,127,,,173,,,167,,,
1,157,138,,,173,,,154,,,
4,166,163,,,148,,,170,,,
4,149,177,,,148,,,175,,,
2,,138,,,134,,,150,,100,
1,,154,,,147,,,176,,,
1,157,169,,,143,,,167,,,
1,166,147,,,145,,,165,,,
1,125,147,,,163,,,172,,,
5,137,172,,,140,,,177,,,
1,157,140,,,147,,,163,,,
1,148,143,,,155,,,149,,,
1,149,143,,,143,,,163,,,
0,151,143,,,148,,,148,,,
2,125,148,,,147,,,170,,,
1,140,146,,,148,,,154,,,
1,,148,,138,152,,,142,,,
0,140,151,,,140,,,157,,,
1,,138,,,143,,142,156,,,
3,150,148,,,140,,,146,,,
1,,141,,,145,,,160,,134,
5,131,146,,,152,,,144,,,
1,,141,146,,143,,,145,,,
0,,162,,,126,,,156,,,
0,145,152,,,140,,,136,,,
1,,144,152,,131,,,152,,,
3,137,149,,,131,,,160,,,
2,131,138,,,143,,,148,,,
3,145,138,,,134,,,146,,,
2,,127,151,,145,,,131,,,
2,,138,,149,134,,,143,,,
2,,142,,142,131,,,146,,,
0,125,138,,,137,,,144,,,
2,,150,,,131,,,148,,125,
0,118,138,,,137,,,138,,,
3,,130,,,134,,,136,,131,
1,,130,147,,123,,,140,,,
5,,136,,138,123,,,142,,,
0,150,144,,,108,,,146,,,
1,109,134,,,134,,,146,,,
0,,134,,,121,,,118,,,
2,,,,140,105,,,132,,,
1,,141,,142,108,,,105,,,
0,,124,,,108,,134,120,,,
1,162,166,,,152,,,175,,,
1,191,175,,,180,,,180,,,
1,,188,,164,184,,,177,,,
1,166,177,,,189,,,175,,,
1,,160,,,180,,,172,,173,
1,,167,,,162,,,187,,,
1,173,194,,,159,,,165,,,
5,162,147,,,176,,,177,,,
1,,163,,170,163,,,172,,,
1,162,152,,,167,,,177,,,
1,143,191,,,167,,,165,,,
1,150,140,,,173,,,172,,,
2,159,141,,,147,,,183,,,
1,131,142,,,167,,,175,,,
1,137,143,,,163,,,167,,,
5,149,156,,,155,,,150,,,
3,162,156,,,137,,,156,,,
1,148,143,,,148,,,159,,,
1,150,146,,,150,,,150,,,
2,,154,,147,152,,,140,,,
1,,151,,,152,,,163,,131,
1,,154,,,146,,,147,,,
1,148,142,,,152,,,143,,,
1,,146,,151,148,,,145,,,
0,,152,,140,147,,,149,,,
0,134,160,,,145,,,154,,,
1,140,148,,,151,,,145,,,
3,,141,,,148,,,146,,,
4,,154,,,146,,,140,,,
1,147,142,,,143,,,150,,,
1,,148,,,145,,,138,,150,
1,,136,,146,148,,,144,,,
0,,150,,,134,,,157,,,
2,155,138,,,137,,,149,,,
0,147,143,,,134,,,156,,,
3,118,143,,,151,,,154,,,
1,134,142,,,147,,,145,,,
1,134,142,,,137,,,154,,,
0,149,141,,,134,,,143,,,
0,,143,,136,143,,,138,,,
3,,146,,,138,,,137,,,
1,137,134,,,134,,,142,,,
1,,132,140,,131,,,134,,,
1,,127,,140,123,,,146,,,
2,,145,145,,115,,,138,,,
0,125,134,,,123,,,143,,,
2,,146,,149,150,,,143,,,
1,,188,,,200,,,195,,176,
1,,185,,,184,,,172,,156,
1,173,168,,,159,,,180,,,
2,166,163,,,159,,,175,,,
1,145,169,,,150,,,154,,,
3,145,134,,,147,,,152,,,
3,,141,,145,143,,,152,,,
3,153,148,,,134,,,149,,,
1,,132,,144,134,,,144,,,
3,,136,,,121,,,136,,,
1,,134,,,115,,,136,,131,
1,,145,,,180,,,162,,189,
3,159,144,,,176,,,163,,,
0,,158,,160,137,,,154,,,
1,147,150,,,143,,,150,,,
1,145,144,,,137,,,165,,,
0,151,142,,,140,,,148,,,
1,145,,,,143,,,143,,,
4,131,142,,,137,,,152,,,
3,,156,,147,115,,,148,,,
3,118,138,,,137,,,142,,,
2,155,141,,,115,,,138,,,
0,,142,152,,108,,,152,,,
0,109,132,,,131,,,143,,,
2,,127,,,115,,115,148,,,
1,185,168,,,155,,,183,,,
1,200,183,,,167,,,183,,,
1,159,169,,,189,,,170,,,
1,152,145,,,173,,,183,,,
1,191,142,,,150,,,170,,,
1,150,144,,,173,,,170,,,
1,,156,,,155,,163,167,,,
1,143,177,,,150,,,180,,,
