p,Українська мова,Математика,Історія України,Іноземна мова,Біологія,Фізика,Українська література,Географія,Українська мова і література,Хімія,Творчий конкурс
1,157,173,175,143,,,,,,,
2,165,167,169,147,,,,,,,
1,172,163,173,143,,,,,,,
1,165,170,141,157,,,,,,,
1,160,163,148,169,,,,,,,
1,165,155,158,169,,,,,,,
1,163,152,172,166,,,,,,,
1,175,143,179,,,,,164,,,
3,170,159,152,159,,,,,,,
1,170,143,170,173,,,,,,,
1,177,149,150,169,,,,,,,
2,163,159,163,157,,,,,,,
1,165,159,158,157,,,,,,,
3,177,143,156,173,,,,,,,
1,162,159,143,169,,,,,,,
1,165,149,156,173,,,,,,,
0,165,151,156,166,,,,,,,
5,180,149,146,157,,,,,,,
1,167,159,158,,,145,,,,,
1,154,150,160,166,,,,,,,
1,172,149,154,152,,,,,,,
1,146,149,177,,,,,164,,,
2,156,159,163,143,,,,,,,
1,149,152,156,166,,,,,,,
1,159,159,136,157,,,,,,,
2,172,151,146,148,,,,,,,
1,172,148,150,,,,,145,,,
1,159,148,156,,156,,,,,,
1,152,147,142,173,,,,,,,
1,152,151,,157,,,,,,,
1,154,159,150,143,,,,,,,
1,156,163,143,137,,,,,,,
1,148,149,143,166,,,,,,,
2,170,145,145,148,,,,,,,
1,154,150,151,150,,,,,,,
0,152,145,158,155,,,,,,,
1,154,150,136,159,,,,,,,
1,162,152,147,140,,,,,,,
1,142,148,164,,,,,,,,
1,163,149,136,145,,,,,,,
1,154,140,169,143,,,,,,,
1,163,147,138,143,,,,,,,
0,152,151,,140,,,,,,,
1,156,148,145,143,,,,,,,
1,167,134,154,148,,,,,,,
1,162,140,150,145,,,,,,,
2,157,149,136,140,,,,,,,
1,154,147,138,,,,144,,,,
1,145,145,147,150,,,,,,,
1,151,145,,140,,,,,,,
1,142,150,138,,,,,,,,
1,146,149,140,140,,,,,,,
1,146,143,143,,,,,145,,,
0,156,131,148,151,,,,,,,
5,142,140,140,,,,,151,,,
0,142,140,147,,,,,,,,
2,145,137,143,,,,,140,,,
0,152,134,144,137,,,,,,,
0,145,131,149,,,,,145,,,
0,142,137,143,140,,,,,,,
1,144,131,141,,,,146,,,,
0,146,131,145,137,,,,,,,
1,138,147,130,125,,,,,,,
0,143,134,132,,,,,140,,,
0,148,140,127,125,,,,,,,
5,138,131,134,,,,,138,,,
1,157,108,140,152,,,,,,,
2,144,123,143,137,,,,,,,
4,146,115,168,,,131,,,,,
0,140,128,134,,,,,,,,
1,138,131,140,125,,,,,,,
1,146,108,147,,,,,156,,,
1,163,173,175,153,,,,,,,
1,191,194,194,157,,,,,,,
1,194,172,200,,,,,,,,
1,159,189,143,185,,,,,,,
1,162,176,170,179,,,,,,,
1,175,189,150,145,,,,,,,
1,170,167,179,166,,,,,,,
1,183,167,173,155,,,,,,,
1,175,176,156,157,,,,,,,
1,183,170,166,152,,,,,,,
1,162,181,,147,,,,,,,
1,172,149,191,,,,165,,,,
5,159,140,149,152,,,,,,,
1,170,135,140,,,,,,,,
1,165,150,,167,,,,,,,
5,165,155,163,153,,,,,,,
1,172,143,183,152,,,,,,,
1,159,173,132,143,,,,,,,
1,153,155,,155,,,,,,,
1,148,151,143,173,,,,,,,
2,167,151,149,149,,,,,,,
1,142,170,130,,,145,,,,,
1,152,145,143,162,,,,,,,
1,160,134,168,,,,157,,,,
0,149,151,146,,,,,152,,,
0,150,145,151,149,,,,,,,
1,156,150,144,137,,,,,,,
2,148,145,152,143,,,,,,,
1,144,147,134,150,,,,,,,
1,157,137,148,140,,,,,,,
5,162,140,151,,,131,,,,,
1,149,150,146,125,,,,,,,
3,138,134,152,,,,,147,,,
2,143,137,143,,,,,140,,,
1,135,136,140,,,,,,,,
1,143,123,136,150,,,,,,,
1,143,123,141,140,,,,,,,
2,143,115,144,150,,,,,,,
1,149,108,145,149,,,,,,,
0,149,131,146,109,,,,,,,
0,140,131,120,125,,,,,,,
0,140,131,134,109,,,,,,,
1,115,137,130,118,,,,,,,
0,131,108,132,147,,,,,,,
0,145,115,136,118,,,,,,,
0,134,131,136,,,100,,,,,
К,145,148,145,,,,,146,,,
1,180,163,166,153,,,,,,,
2,177,152,166,162,,,,,,,
1,183,152,146,166,,,,,,,
1,156,152,147,,,160,,,,,
4,154,149,142,152,,,,,,,
1,159,149,142,145,,,,,,,
1,172,131,150,,,149,,,,,
0,140,145,145,159,,,,,,,
1,144,150,144,145,,,,,,,
1,143,143,154,145,,,,,,,
1,152,137,138,140,,,,,,,
1,163,123,143,,,,148,,,,
1,150,131,145,143,,,,,,,
1,140,137,134,147,,,,,,,
2,128,134,,159,,,,,,,
1,146,131,144,,,,,144,,,
1,146,131,144,,,,,134,,,
1,145,131,141,137,,,,,,,
1,125,140,134,,,,,145,,,
0,148,123,130,150,,,,,,,
0,143,123,156,137,,,,,,,
0,144,143,141,109,,,,,,,
0,142,131,143,,,,125,,,,
0,142,123,134,,148,,,,,,
0,134,123,146,137,,,,,,,
1,125,134,140,,,,125,,,,
1,131,123,150,131,,,,,,,
0,134,115,140,,148,,,,,,
0,142,115,143,,,131,,,,,
1,140,115,142,134,,,,,,,
0,131,115,148,,140,,,,,,
1,143,115,130,,,,,140,,,
1,145,108,136,,,,,144,,,
2,150,100,146,140,,,,,,,
1,143,108,142,,,,,136,,,
0,144,107,136,,,,,,,,
2,146,100,138,118,,,,,,,
0,115,100,120,131,,,,,,,
1,165,150,175,159,,,,,,,
3,156,159,144,159,,,,,,,
1,163,159,141,,,,152,,,,
5,157,159,142,,,,,154,,,
3,152,151,,152,,,,,,,
1,183,134,130,,,,162,,,,
3,175,148,158,118,,,,,,,
1,144,147,140,162,,,,,,,
5,144,159,140,137,,,,,,,
1,148,149,142,143,,,,,,,
0,149,140,148,148,,,,,,,
2,145,163,140,100,,,,,,,
1,142,150,134,109,,,,,,,
2,143,137,138,125,,,,,,,
0,142,131,,131,,,,,,,
1,145,123,145,,,,134,,,,
0,140,100,136,,,,,150,,,
0,131,115,111,125,,,,,,,
0,134,108,140,100,,,,,,,
К,142,126,134,,,,,,,,
К,148,123,124,,,,110,,,,
1,191,176,185,169,,,,,,,
2,195,180,163,,,151,,,,,
1,177,173,148,,,,,146,,,
1,180,151,191,143,,,,,,,
1,186,159,151,143,,,,,,,
1,162,149,158,150,,,,,,,
1,134,131,142,,,,,146,,,
0,115,137,141,,,,138,,,,
0,142,108,120,,138,,,,,,
1,152,143,127,125,,,,,,,
1,183,151,168,191,,,,,,,
5,162,180,160,166,,,,,,,
1,175,163,168,,,,,160,,,
3,167,167,144,157,,,,,,,
1,157,173,152,149,,,,,,,
1,167,147,179,162,,,,,,,
1,175,151,150,166,,,,,,,
3,167,173,127,152,,,,,,,
1,154,173,138,157,,,,,,,
4,170,148,163,166,,,,,,,
4,175,148,177,149,,,,,,,
2,150,134,138,,,100,,,,,
1,176,147,154,,,,,,,,
1,167,143,169,157,,,,,,,
1,165,145,147,166,,,,,,,
1,172,163,147,125,,,,,,,
5,177,140,172,137,,,,,,,
1,163,147,140,157,,,,,,,
1,149,155,143,148,,,,,,,
1,163,143,143,149,,,,,,,
0,148,148,143,151,,,,,,,
2,170,147,148,125,,,,,,,
1,154,148,146,140,,,,,,,
1,142,152,148,,,,,138,,,
0,157,140,151,140,,,,,,,
1,156,143,138,,,,142,,,,
3,146,140,148,150,,,,,,,
1,160,145,141,,,134,,,,,
5,144,152,146,131,,,,,,,
1,145,143,141,,146,,,,,,
0,156,126,162,,,,,,,,
0,136,140,152,145,,,,,,,
1,152,131,144,,152,,,,,,
3,160,131,149,137,,,,,,,
2,148,143,138,131,,,,,,,
3,146,134,138,145,,,,,,,
2,131,145,127,,151,,,,,,
2,143,134,138,,,,,149,,,
2,146,131,142,,,,,142,,,
0,144,137,138,125,,,,,,,
2,148,131,150,,,125,,,,,
0,138,137,138,118,,,,,,,
3,136,134,130,,,131,,,,,
1,140,123,130,,147,,,,,,
5,142,123,136,,,,,138,,,
0,146,108,144,150,,,,,,,
1,146,134,134,109,,,,,,,
0,118,121,134,,,,,,,,
2,132,105,,,,,,140,,,
1,105,108,141,,,,,142,,,
0,120,108,124,,,,134,,,,
1,175,152,166,162,,,,,,,
1,180,180,175,191,,,,,,,
1,177,184,188,,,,,164,,,
1,175,189,177,166,,,,,,,
1,172,180,160,,,173,,,,,
1,187,162,167,,,,,,,,
1,165,159,194,173,,,,,,,
5,177,176,147,162,,,,,,,
1,172,163,163,,,,,170,,,
1,177,167,152,162,,,,,,,
1,165,167,191,143,,,,,,,
1,172,173,140,150,,,,,,,
2,183,147,141,159,,,,,,,
1,175,167,142,131,,,,,,,
1,167,163,143,137,,,,,,,
5,150,155,156,149,,,,,,,
3,156,137,156,162,,,,,,,
1,159,148,143,148,,,,,,,
1,150,150,146,150,,,,,,,
2,140,152,154,,,,,147,,,
1,163,152,151,,,131,,,,,
1,147,146,154,,,,,,,,
1,143,152,142,148,,,,,,,
1,145,148,146,,,,,151,,,
0,149,147,152,,,,,140,,,
0,154,145,160,134,,,,,,,
1,145,151,148,140,,,,,,,
3,146,148,141,,,,,,,,
4,140,146,154,,,,,,,,
1,150,143,142,147,,,,,,,
1,138,145,148,,,150,,,,,
1,144,148,136,,,,,146,,,
0,157,134,150,,,,,,,,
2,149,137,138,155,,,,,,,
0,156,134,143,147,,,,,,,
3,154,151,143,118,,,,,,,
1,145,147,142,134,,,,,,,
1,154,137,142,134,,,,,,,
0,143,134,141,149,,,,,,,
0,138,143,143,,,,,136,,,
3,137,138,146,,,,,,,,
1,142,134,134,137,,,,,,,
1,134,131,132,,140,,,,,,
1,146,123,127,,,,,140,,,
2,138,115,145,,145,,,,,,
0,143,123,134,125,,,,,,,
2,143,150,146,,,,,149,,,
1,195,200,188,,,176,,,,,
1,172,184,185,,,156,,,,,
1,180,159,168,173,,,,,,,
2,175,159,163,166,,,,,,,
1,154,150,169,145,,,,,,,
3,152,147,134,145,,,,,,,
3,152,143,141,,,,,145,,,
3,149,134,148,153,,,,,,,
1,144,134,132,,,,,144,,,
3,136,121,136,,,,,,,,
1,136,115,134,,,131,,,,,
1,162,180,145,,,189,,,,,
3,163,176,144,159,,,,,,,
0,154,137,158,,,,,160,,,
1,150,143,150,147,,,,,,,
1,165,137,144,145,,,,,,,
0,148,140,142,151,,,,,,,
1,143,143,,145,,,,,,,
4,152,137,142,131,,,,,,,
3,148,115,156,,,,,147,,,
3,142,137,138,118,,,,,,,
2,138,115,141,155,,,,,,,
0,152,108,142,,152,,,,,,
0,143,131,132,109,,,,,,,
2,148,115,127,,,,115,,,,
1,183,155,168,185,,,,,,,
1,183,167,183,200,,,,,,,
1,170,189,169,159,,,,,,,
1,183,173,145,152,,,,,,,
1,170,150,142,191,,,,,,,
1,170,173,144,150,,,,,,,
1,167,155,156,,,,163,,,,
1,180,150,177,143,,,,,,,
1,160,147,168,173,,,,,,,
1,177,150,152,131,,,,,,,
2,144,148,145,,144,,,,,,
1,146,131,138,,160,,,,,,
1,143,145,142,118,,,,,,,
5,146,123,142,,,,,149,,,
0,146,115,145,,,,,154,,,
1,148,131,140,,,125,,,,,
3,140,123,130,,,,,146,,,
0,149,108,142,,,,156,,,,
0,148,100,147,,,,,147,,,
0,134,108,141,145,,,,,,,
1,144,115,150,109,,,,,,,
1,170,173,160,,,,,148,,,
1,172,170,136,155,,,,,,,
1,149,149,144,,,,,154,,,
0,157,143,138,155,,,,,,,
3,149,140,136,162,,,,,,,
3,138,140,143,155,,,,,,,
1,136,149,124,152,,,,,,,
1,145,145,136,,,131,,,,,
1,154,115,138,131,,,,,,,
0,140,100,136,,,,,147,,,
0,146,100,130,131,,,,,,,
1,173,164,,,138,,,,,,
1,157,167,150,145,,,,,,,
1,149,163,160,149,,,,,,,
4,165,163,141,,,148,,,,,
1,156,152,147,147,,,,,,,
1,152,155,151,,,145,,,,,
1,167,143,149,,,,,144,,,
2,165,148,144,134,,,,,,,
2,154,143,140,149,,,,,,,
1,149,143,147,145,,,,,,,
1,156,134,142,153,,,,,,,
1,131,147,136,159,,,,,,,
1,142,134,153,,,,,,,,
4,145,140,142,,,,,148,,,
1,145,123,142,166,,,,,,,
1,125,140,152,,148,,,,,,
2,144,131,147,,,,,140,,,
2,136,134,136,,,,,147,,,
3,139,140,140,,,,,,,,
1,142,131,142,,,,,,,,
3,148,131,,,146,,,,,,
1,144,123,145,,,,,147,,,
4,131,131,169,137,,,,,,,
2,131,140,124,,136,,,,,,
2,149,115,143,148,,,,,,,
2,142,123,141,,,,,138,,,
2,138,114,,163,,,,,,,
1,138,115,143,150,,,,,,,
0,140,146,146,,,,,,,,
1,148,115,140,,,,,140,,,
4,140,123,140,,,,,145,,,
5,140,125,138,,,,,,,,
2,140,108,142,,,,,138,,,
1,142,100,146,,,,,149,,,
1,115,123,140,,,,134,,,,
1,120,108,150,,,,,152,,,
1,140,100,134,,,,,150,,,
К,136,134,,,,,,,,121,
1,163,163,151,,,,,149,,,
2,162,149,148,155,,,,,,,
3,145,147,143,,,,,138,,,
4,163,137,141,137,,,,,,,
4,157,134,138,147,,,,,,,
1,140,140,130,,,,,145,,,
4,142,150,127,131,,,,,,,
0,144,137,124,125,,,,,,,
0,125,134,144,,,,,119,,,
2,138,100,142,,,,,134,,,
4,172,167,172,179,,,,,,,
1,152,173,142,151,,,,,,,
1,160,151,177,,144,,,,,,
3,152,173,140,153,,,,,,,
1,152,149,169,,,,138,,,,
4,162,152,154,,,,,148,,,
